place,title,time,pay,date
대구 북구,이자녹스비욘드네이처컬렉션 엔씨아울,시간협의,"시급 9,160원",6분전
광주 북구,이자녹스비욘드네이처컬렉션 NC 광,10:00~19:00,"시급 9,160원",59분전
세종 가람동,이자녹스비욘드네이처컬렉션 이마트,시간협의,"시급 9,160원",3시간전
제주 서귀포,이자녹스비욘드네이처컬렉션 NC 제,16:30~21:30,"시급 9,160원",3시간전
경기 용인시,이자녹스비욘드네이처컬렉션 NC 이,18:30~22:30,"시급 9,160원",7시간전
광주 서구,이자녹스비욘드네이처컬렉션 NC 유,17:00~21:00,"시급 9,160원",01/15
경기 용인시,이자녹스비욘드네이처컬렉션 NC 이,18:30~22:30,"시급 9,160원",01/14
경기 고양시,이자녹스비욘드네이처컬렉션 이마트,18:30~23:00,"시급 9,160원",01/11
광주 서구,이자녹스비욘드네이처컬렉션 NC 광,15:30~21:30,"시급 9,160원",01/11
경기 성남시,이자녹스비욘드네이처컬렉션 세이브존,09:30~14:30,"시급 9,160원",01/03
광주 서구,이자녹스비욘드네이처컬렉션 NC 광,15:30~21:30,"시급 9,160원",01/01
